Day,2004-2004,2005-2005,2006-2006,2007-2007,2008-2008,2009-2009,2010-2010,2011-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022,2023-2023
Monday,6347,8473,9701,10568,10941,13341,19604,24158,25303,29398,30707,31629,34796,36495,37251,37804,38802,33744,30866,30479
Tuesday,7168,9594,10820,11117,11715,14080,20926,25896,26413,31398,33374,33823,37029,39773,41066,41288,40316,35580,35044,32838
Wednesday,6776,9783,11035,11318,12059,14846,21271,25711,26485,30480,32996,33701,36418,40137,41841,40777,40744,35076,34511,32949
Thursday,7239,9741,10934,11711,11346,14086,20295,24193,24874,28437,32037,32939,35398,38534,41230,40434,39714,33706,33076,33007
Friday,6765,8466,9833,10680,10773,13256,18304,22918,23613,26861,29375,30175,33558,37109,37781,36951,37641,31938,31689,29622
Saturday,2602,3258,3636,4537,4871,5635,9010,11852,10142,14665,14561,15250,16495,15407,16709,16778,17393,13019,11856,11508
Sunday,2580,2472,3181,3919,4967,6062,9158,12012,10793,15576,15120,15451,16248,16136,17908,16439,16687,12149,11165,11123
