Day,2004-2004,2005-2005,2006-2006,2007-2007,2008-2008,2009-2009,2010-2010,2011-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022,2023-2023
Monday,16.07771613851103,16.361248962094734,16.40344944200203,16.55129209,16.410187185025197,16.40838314515534,16.53397206666217,16.463132070328474,17.140283018228867,16.6264174,16.318754317904023,16.390800547240993,16.57410141848701,16.322213327012268,15.933802708459874,16.402931388330853,16.77583366840037,17.28582259287339,16.40002762915301,16.790432224584908
Tuesday,18.157408111052003,18.525884874582424,18.295569834291513,17.411119812059514,17.571094312455003,17.31729515656901,17.648944065852508,17.64753986643042,17.892198370172668,17.7575432,17.736089706116807,17.52777662617636,17.637728515494754,17.788283070427703,17.565636950031223,17.914618325082117,17.430403334241255,18.226338544761592,18.619923807297283,18.08997058272644
Wednesday,17.16442485497885,18.890841330835926,18.65911397,17.725920125293655,18.08705303575714,18.259415049319852,17.939916334930167,17.521466539457546,17.940971257866323,17.2383565,17.535207525110273,17.46455370838688,17.346695754065408,17.951080320764255,17.897136697663676,17.692898455771008,17.615446806486897,17.968157695223656,18.336724988974908,18.151118847988716
Thursday,18.337259670187706,18.809739896112923,18.48833276969902,18.341425215348472,17.017638588912888,17.32467468575505,17.11676000269887,16.48698378083685,16.84967789572086,16.0829115,17.02556199181591,17.069669582521456,16.860847281630164,17.23414628,17.63578657404635,17.54407279006903,17.170131908325658,17.26635657643997,17.574266631953115,18.18307019380144
Friday,17.13656052891557,16.347732056307567,16.626648630368617,16.72670321064996,16.158207343412524,16.303839815019803,15.43755482086229,15.618100040888647,15.995474959863978,15.1915844,15.610883775309562,15.637307740143443,15.98441474311953,16.596821875656893,16.160505761679484,16.032819747386874,16.273881632706004,16.360674548695776,16.837312108476304,16.318323545938323
Saturday,6.591179674240697,6.291154151,6.148123098,7.105716523101018,7.305915527,6.930607827220624,7.599014911274543,8.076870656,6.870203152625269,08.2939796,7.738215443481958,7.902864723684757,7.856931914528776,6.890706692129826,7.147134558955626,7.279874691392843,7.519768955,6.669159682806384,6.299446885609994,6.339587717461962
Sunday,6.535451022114143,4.773398729410856,5.378762259046331,6.137823022709475,7.449904007679385,7.455784320960322,7.723837797719452,8.185907046476762,7.3111913455220385,08.8092074,8.035287240261466,8.007027072,7.739280372674358,7.216748437996162,7.659996749163765,7.132784601967276,7.214533694773387,6.223490359199229,5.932297948535389,6.127496887498209
