"id","name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","languages","labels","topics"
6153,"elastic/elasticsearch",false,71901,256,"main",121,341,"Other",2691,65074,23548,1108586,"2010-02-08T01:20:56","2023-09-13T07:01:53","2023-09-13T05:29:09","https://www.elastic.co/products/elasticsearch","Java",32914,3868,66312,530,476381,3109884,364329,"[{""commentLines"":1,""language"":""PowerShell"",""blankLines"":6,""codeLines"":25},{""commentLines"":0,""language"":""CSV"",""blankLines"":0,""codeLines"":2840},{""commentLines"":39,""language"":""DOS Batch"",""blankLines"":103,""codeLines"":323},{""commentLines"":87,""language"":""ANTLR Grammar"",""blankLines"":208,""codeLines"":1066},{""commentLines"":68,""language"":""Python"",""blankLines"":89,""codeLines"":422},{""commentLines"":0,""language"":""Mustache"",""blankLines"":0,""codeLines"":5},{""commentLines"":2734,""language"":""Gradle"",""blankLines"":3041,""codeLines"":18792},{""commentLines"":4107,""language"":""YAML"",""blankLines"":21913,""codeLines"":199736},{""commentLines"":0,""language"":""Markdown"",""blankLines"":706,""codeLines"":2058},{""commentLines"":0,""language"":""Freemarker Template"",""blankLines"":0,""codeLines"":5},{""commentLines"":8,""language"":""Diff"",""blankLines"":0,""codeLines"":5},{""commentLines"":0,""language"":""Lisp"",""blankLines"":10,""codeLines"":78},{""commentLines"":72,""language"":""Dockerfile"",""blankLines"":89,""codeLines"":345},{""commentLines"":40,""language"":""XSD"",""blankLines"":112,""codeLines"":1499},{""commentLines"":277,""language"":""Velocity Template Language"",""blankLines"":81,""codeLines"":871},{""commentLines"":1191,""language"":""XML"",""blankLines"":596,""codeLines"":9320},{""commentLines"":0,""language"":""JSON"",""blankLines"":31,""codeLines"":65817},{""commentLines"":338309,""language"":""Java"",""blankLines"":394461,""codeLines"":2548542},{""commentLines"":3,""language"":""CSS"",""blankLines"":30,""codeLines"":294},{""commentLines"":0,""language"":""INI"",""blankLines"":11,""codeLines"":76},{""commentLines"":95,""language"":""Bourne Again Shell"",""blankLines"":112,""codeLines"":350},{""commentLines"":1041,""language"":""TOML"",""blankLines"":790,""codeLines"":4227},{""commentLines"":840,""language"":""Groovy"",""blankLines"":1248,""codeLines"":7353},{""commentLines"":14,""language"":""HTML"",""blankLines"":2,""codeLines"":45},{""commentLines"":561,""language"":""SQL"",""blankLines"":6,""codeLines"":285},{""commentLines"":14454,""language"":""AsciiDoc"",""blankLines"":52510,""codeLines"":243400},{""commentLines"":1,""language"":""JavaScript"",""blankLines"":6,""codeLines"":31},{""commentLines"":18,""language"":""SVG"",""blankLines"":0,""codeLines"":1121},{""commentLines"":369,""language"":""Bourne Shell"",""blankLines"":220,""codeLines"":953}]","2023-09-13T12:07:18","ebe00a61dc15c30cb29b64ce4dd1309ffc6e5013",,,"{""Java"":147721381,""Groovy"":361135,""StringTemplate"":67319,""Shell"":67224,""ANTLR"":45513,""Python"":21607,""Dockerfile"":18341,""Batchfile"":12277,""PowerShell"":7780,""CSS"":5424,""Emacs Lisp"":3341,""AMPL"":3121,""HTML"":2186,""JavaScript"":1268,""Mustache"":58,""FreeMarker"":45}","["":analytics/aggregations"","":analytics/compositeaggs"","":analytics/downsampling"","":analytics/geo"","":analytics/graph"","":analytics/rollup"","":analytics/tsdb"","":clients/java high level rest client"","":clients/java low level rest client"","":core/infra/circuit breakers"","":core/infra/cli"","":core/infra/core"","":core/infra/logging"","":core/infra/node lifecycle"","":core/infra/plugins"","":core/infra/resiliency"","":core/infra/rest api"","":core/infra/scripting"","":core/infra/settings"","":core/infra/transport api"","":data management/cat apis"","":data management/data streams"","":data management/health"","":data management/ilm+slm"","":data management/indices apis"","":data management/ingest node"","":data management/monitoring"","":data management/other"","":data management/stats"","":data management/watcher"","":delivery/build"","":delivery/cloud"","":delivery/packaging"","":delivery/tooling"","":distributed/allocation"","":distributed/autoscaling"","":distributed/ccr"","":distributed/cluster coordination"","":distributed/crud"","":distributed/discovery-plugins"","":distributed/distributed"","":distributed/engine"","":distributed/network"","":distributed/recovery"","":distributed/reindex"","":distributed/snapshot/restore"","":distributed/store"","":distributed/task management"","":enterprisesearch/application"","":ml"","":ml/transform"","":performance"","":query languages/eql"","":query languages/es|ql"","":query languages/sql"","":search/analysis"","":search/highlighting"","":search/mapping"","":search/percolator"","":search/ranking"","":search/search"","":search/suggesters"","":search/vectors"","":security/audit"","":security/authentication"","":security/authorization"","":security/autoconfiguration"","":security/client"","":security/fips"","":security/identityprovider"","":security/license"","":security/security"","":security/tls"","":universalprofiling/application"","">breaking"","">breaking-java"","">bug"","">deprecation"","">docs"","">enhancement"","">feature"","">new-aggregation"","">new-field-mapper"","">non-issue"","">refactoring"","">regression"","">tech debt"","">test"","">test-failure"","">test-mute"","">upgrade"",""auto-backport"",""auto-backport-and-merge"",""auto-merge"",""awaiting cla"",""backport"",""backport pending"",""blocker"",""build-benchmark"",""build-performance"",""buildkite-opt-in"",""cloud-deploy"",""coordination"",""critical"",""das awesome"",""dependencies"",""dependency:endpoint"",""dependency:siem"",""discuss"",""enablejirasync"",""es|ql-ui"",""experimental/beta"",""external-contributor"",""feature:data frame analytics"",""feature:upgrade assistant"",""feedback_needed"",""good first issue"",""help wanted"",""high hanging fruit"",""impact:high"",""initiative:makeitslow"",""jdk10"",""jdk11"",""jdk12"",""jdk9"",""jvm bug"",""meta"",""modularization"",""needs:reproduction"",""needs:triage"",""needs_team"",""pioneer program"",""pita"",""pretty bloody important"",""release highlight"",""resiliency"",""stalled"",""supportability"",""team-discuss"",""team:analytics"",""team:clients"",""team:core/infra"",""team:data management"",""team:delivery"",""team:deployment management"",""team:distributed"",""team:docs"",""team:enterprise search"",""team:fleet"",""team:infra monitoring ui"",""team:ml"",""team:performance"",""team:ql"",""team:search"",""team:security"",""team:universal profiling"",""test-forwards"",""test-full-bwc"",""test-part-3"",""test-release"",""test-windows"",""theme: correlation"",""top ask"",""v0.05.0"",""v0.05.1"",""v0.06.0"",""v0.07.0"",""v0.07.1"",""v0.08.0"",""v0.09.0"",""v0.10.0"",""v0.11.0"",""v0.12.0"",""v0.12.1"",""v0.13.0"",""v0.13.1"",""v0.14.0"",""v0.14.1"",""v0.14.2"",""v0.14.3"",""v0.15.0"",""v0.15.1"",""v0.15.2"",""v0.16.0"",""v0.16.1"",""v0.16.2"",""v0.16.3"",""v0.16.4"",""v0.16.5"",""v0.17.0"",""v0.17.1"",""v0.17.10"",""v0.17.2"",""v0.17.3"",""v0.17.4"",""v0.17.5"",""v0.17.6"",""v0.17.7"",""v0.17.8"",""v0.17.9"",""v0.18.0"",""v0.18.1"",""v0.18.2"",""v0.18.3"",""v0.18.4"",""v0.18.5"",""v0.18.6"",""v0.18.7"",""v0.18.8"",""v0.19.0"",""v0.19.0.rc1"",""v0.19.0.rc2"",""v0.19.0.rc3"",""v0.19.1"",""v0.19.10"",""v0.19.11"",""v0.19.12"",""v0.19.13"",""v0.19.2"",""v0.19.3"",""v0.19.4"",""v0.19.5"",""v0.19.6"",""v0.19.7"",""v0.19.8"",""v0.19.9"",""v0.20.0"",""v0.20.0.rc1"",""v0.20.1"",""v0.20.2"",""v0.20.3"",""v0.20.4"",""v0.20.5"",""v0.20.6"",""v0.20.7"",""v0.90.0"",""v0.90.0.beta1"",""v0.90.0.rc1"",""v0.90.0.rc2"",""v0.90.1"",""v0.90.10"",""v0.90.11"",""v0.90.12"",""v0.90.13"",""v0.90.14"",""v0.90.2"",""v0.90.3"",""v0.90.4"",""v0.90.5"",""v0.90.6"",""v0.90.7"",""v0.90.8"",""v0.90.9"",""v1.0.0"",""v1.0.0.beta1"",""v1.0.0.beta2"",""v1.0.0.rc1"",""v1.0.0.rc2"",""v1.0.1"",""v1.0.2"",""v1.0.3"",""v1.0.4"",""v1.1.0"",""v1.1.1"",""v1.1.2"",""v1.1.3"",""v1.2.0"",""v1.2.1"",""v1.2.2"",""v1.2.3"",""v1.2.4"",""v1.2.5"",""v1.3.0"",""v1.3.1"",""v1.3.10"",""v1.3.2"",""v1.3.3"",""v1.3.4"",""v1.3.5"",""v1.3.6"",""v1.3.7"",""v1.3.8"",""v1.3.9"",""v1.4.0"",""v1.4.0.beta1"",""v1.4.1"",""v1.4.2"",""v1.4.3"",""v1.4.4"",""v1.4.5"",""v1.5.0"",""v1.5.1"",""v1.5.2"",""v1.5.3"",""v1.6.0"",""v1.6.1"",""v1.6.2"",""v1.6.3"",""v1.7.0"",""v1.7.1"",""v1.7.2"",""v1.7.3"",""v1.7.4"",""v1.7.5"",""v1.7.6"",""v2.0.0"",""v2.0.0-beta1"",""v2.0.0-beta2"",""v2.0.0-rc1"",""v2.0.1"",""v2.0.2"",""v2.0.3"",""v2.1.0"",""v2.1.1"",""v2.1.2"",""v2.1.3"",""v2.2.0"",""v2.2.1"",""v2.2.2"",""v2.3.0"",""v2.3.1"",""v2.3.2"",""v2.3.3"",""v2.3.4"",""v2.3.5"",""v2.3.6"",""v2.4.0"",""v2.4.1"",""v2.4.2"",""v2.4.3"",""v2.4.4"",""v2.4.5"",""v2.4.6"",""v2.4.7"",""v5.0.0"",""v5.0.0-alpha1"",""v5.0.0-alpha2"",""v5.0.0-alpha3"",""v5.0.0-alpha4"",""v5.0.0-alpha5"",""v5.0.0-beta1"",""v5.0.0-rc1"",""v5.0.1"",""v5.0.2"",""v5.0.3"",""v5.1.1"",""v5.1.2"",""v5.1.3"",""v5.2.0"",""v5.2.1"",""v5.2.2"",""v5.2.3"",""v5.3.0"",""v5.3.1"",""v5.3.2"",""v5.3.3"",""v5.4.0"",""v5.4.1"",""v5.4.2"",""v5.4.3"",""v5.4.4"",""v5.5.0"",""v5.5.1"",""v5.5.2"",""v5.5.3"",""v5.5.4"",""v5.6.0"",""v5.6.1"",""v5.6.10"",""v5.6.11"",""v5.6.12"",""v5.6.13"",""v5.6.14"",""v5.6.15"",""v5.6.16"",""v5.6.17"",""v5.6.2"",""v5.6.3"",""v5.6.4"",""v5.6.5"",""v5.6.6"",""v5.6.7"",""v5.6.8"",""v5.6.9"",""v6.0.0"",""v6.0.0-alpha1"",""v6.0.0-alpha2"",""v6.0.0-beta1"",""v6.0.0-beta2"",""v6.0.0-rc1"",""v6.0.0-rc2"",""v6.0.1"",""v6.0.2"",""v6.0.3"",""v6.1.0"",""v6.1.1"",""v6.1.2"",""v6.1.3"",""v6.1.4"",""v6.1.5"",""v6.2.0"",""v6.2.1"",""v6.2.2"",""v6.2.3"",""v6.2.4"",""v6.2.5"",""v6.3.0"",""v6.3.1"",""v6.3.2"",""v6.3.3"",""v6.4.0"",""v6.4.1"",""v6.4.2"",""v6.4.3"",""v6.4.4"",""v6.5.0"",""v6.5.1"",""v6.5.2"",""v6.5.3"",""v6.5.4"",""v6.5.5"",""v6.6.0"",""v6.6.1"",""v6.6.2"",""v6.6.3"",""v6.7.0"",""v6.7.1"",""v6.7.2"",""v6.7.3"",""v6.8.0"",""v6.8.1"",""v6.8.10"",""v6.8.11"",""v6.8.12"",""v6.8.13"",""v6.8.14"",""v6.8.15"",""v6.8.16"",""v6.8.17"",""v6.8.18"",""v6.8.19"",""v6.8.2"",""v6.8.20"",""v6.8.21"",""v6.8.22"",""v6.8.23"",""v6.8.24"",""v6.8.3"",""v6.8.4"",""v6.8.5"",""v6.8.6"",""v6.8.7"",""v6.8.8"",""v6.8.9"",""v7.0.0"",""v7.0.0-beta1"",""v7.0.0-rc1"",""v7.0.0-rc2"",""v7.0.1"",""v7.0.2"",""v7.1.0"",""v7.1.1"",""v7.1.2"",""v7.10.0"",""v7.10.1"",""v7.10.2"",""v7.10.3"",""v7.11.0"",""v7.11.1"",""v7.11.2"",""v7.11.3"",""v7.12.0"",""v7.12.1"",""v7.12.2"",""v7.13.0"",""v7.13.1"",""v7.13.2"",""v7.13.3"",""v7.13.4"",""v7.13.5"",""v7.14.0"",""v7.14.1"",""v7.14.2"",""v7.14.3"",""v7.15.0"",""v7.15.1"",""v7.15.2"",""v7.15.3"",""v7.16.0"",""v7.16.1"",""v7.16.2"",""v7.16.3"",""v7.16.4"",""v7.17.0"",""v7.17.1"",""v7.17.10"",""v7.17.11"",""v7.17.12"",""v7.17.13"",""v7.17.14"",""v7.17.2"",""v7.17.3"",""v7.17.4"",""v7.17.5"",""v7.17.6"",""v7.17.7"",""v7.17.8"",""v7.17.9"",""v7.2.0"",""v7.2.1"",""v7.2.2"",""v7.3.0"",""v7.3.1"",""v7.3.2"",""v7.3.3"",""v7.4.0"",""v7.4.1"",""v7.4.2"",""v7.4.3"",""v7.5.0"",""v7.5.1"",""v7.5.2"",""v7.5.3"",""v7.6.0"",""v7.6.1"",""v7.6.2"",""v7.6.3"",""v7.7.0"",""v7.7.1"",""v7.7.2"",""v7.8.0"",""v7.8.1"",""v7.8.2"",""v7.9.0"",""v7.9.1"",""v7.9.2"",""v7.9.3"",""v7.9.4"",""v8.0.0"",""v8.0.0-alpha1"",""v8.0.0-alpha2"",""v8.0.0-beta1"",""v8.0.0-rc1"",""v8.0.0-rc2"",""v8.0.1"",""v8.0.2"",""v8.1.0"",""v8.1.1"",""v8.1.2"",""v8.1.3"",""v8.1.4"",""v8.10.0"",""v8.10.1"",""v8.11.0"",""v8.2.0"",""v8.2.1"",""v8.2.2"",""v8.2.3"",""v8.2.4"",""v8.3.0"",""v8.3.1"",""v8.3.2"",""v8.3.3"",""v8.3.4"",""v8.4.0"",""v8.4.1"",""v8.4.2"",""v8.4.3"",""v8.4.4"",""v8.5.0"",""v8.5.1"",""v8.5.2"",""v8.5.3"",""v8.5.4"",""v8.6.0"",""v8.6.1"",""v8.6.2"",""v8.6.3"",""v8.7.0"",""v8.7.1"",""v8.7.2"",""v8.8.0"",""v8.8.1"",""v8.8.2"",""v8.8.3"",""v8.9.0"",""v8.9.1"",""v8.9.2"",""v8.9.3"",""wip"",""won't fix""]","[""elasticsearch"",""java"",""search-engine""]"
276065,"neo4j/neo4j",false,77553,42,"5.10",72,241,"Other",518,11787,2301,599354,"2012-11-12T08:46:15","2023-09-11T03:03:44","2023-09-11T08:36:13","http://neo4j.com","Java",3473,316,9737,1,197844,1156334,293388,"[{""commentLines"":217,""language"":""Maven"",""blankLines"":1553,""codeLines"":15448},{""commentLines"":274,""language"":""XML"",""blankLines"":137,""codeLines"":1368},{""commentLines"":227,""language"":""Bourne Shell"",""blankLines"":87,""codeLines"":413},{""commentLines"":0,""language"":""Markdown"",""blankLines"":110,""codeLines"":210},{""commentLines"":71779,""language"":""Scala"",""blankLines"":66403,""codeLines"":383164},{""commentLines"":11,""language"":""make"",""blankLines"":34,""codeLines"":93},{""commentLines"":1,""language"":""Ant"",""blankLines"":2,""codeLines"":15},{""commentLines"":241,""language"":""PowerShell"",""blankLines"":109,""codeLines"":372},{""commentLines"":0,""language"":""CSV"",""blankLines"":0,""codeLines"":7},{""commentLines"":0,""language"":""AsciiDoc"",""blankLines"":190,""codeLines"":683},{""commentLines"":614,""language"":""ANTLR Grammar"",""blankLines"":579,""codeLines"":637},{""commentLines"":218782,""language"":""Java"",""blankLines"":127363,""codeLines"":730269},{""commentLines"":34,""language"":""DOS Batch"",""blankLines"":4,""codeLines"":8},{""commentLines"":0,""language"":""JSON"",""blankLines"":1,""codeLines"":7285},{""commentLines"":4,""language"":""Dockerfile"",""blankLines"":9,""codeLines"":18},{""commentLines"":0,""language"":""HTML"",""blankLines"":0,""codeLines"":10},{""commentLines"":52,""language"":""Bourne Again Shell"",""blankLines"":83,""codeLines"":215},{""commentLines"":1152,""language"":""Cucumber"",""blankLines"":1180,""codeLines"":16119}]","2023-07-07T12:32:47","74099806e5460a5992d3146dab5108c53919d640",,,"{""Java"":38545456,""Scala"":16101091,""Gherkin"":285061,""Roff"":62526,""Shell"":33886,""PowerShell"":21127,""Makefile"":4236,""Batchfile"":1796,""Dockerfile"":512,""HTML"":146}","[""1.9"",""2.0"",""2.1"",""2.2"",""2.3"",""3.0"",""3.1"",""3.2"",""3.3"",""3.4"",""3.5"",""4.0"",""bolt server"",""browser"",""bug"",""build"",""causal clustering"",""changelog"",""config"",""cypher"",""dependencies"",""desktop"",""docs"",""enhancement"",""fabric"",""feature"",""ha"",""invalid"",""just for building"",""need-more-info"",""not ready for merge"",""opencypher"",""operability"",""performance"",""priority"",""protocol change"",""question"",""security"",""shell"",""team-clg"",""team-cluster"",""team-connectors"",""team-cypher"",""team-documentation"",""team-drivers"",""team-kernel"",""team-packaging"",""team-ux"",""test-only"",""tools"",""wontfix""]","[""cypher"",""database"",""graph"",""graph-database"",""graphdb"",""neo4j"",""nosql""]"
599444,"languagetool-org/languagetool",false,70620,157,"master",0,173,"GNU Lesser General Public License v2.1",157,10001,1151,4745808,"2013-08-08T04:37:22","2023-09-11T07:02:14","2023-09-11T11:20:20","https://languagetool.org","Java",5558,1872,3714,22,44339,1195669,100517,"[{""commentLines"":66733,""language"":""Java"",""blankLines"":31399,""codeLines"":214716},{""commentLines"":2302,""language"":""Diff"",""blankLines"":0,""codeLines"":2609},{""commentLines"":2,""language"":""SQL"",""blankLines"":14,""codeLines"":83},{""commentLines"":362,""language"":""Bourne Shell"",""blankLines"":270,""codeLines"":1346},{""commentLines"":0,""language"":""Markdown"",""blankLines"":709,""codeLines"":2290},{""commentLines"":73,""language"":""XSLT"",""blankLines"":48,""codeLines"":371},{""commentLines"":156,""language"":""Perl"",""blankLines"":96,""codeLines"":2972},{""commentLines"":8,""language"":""Protocol Buffers"",""blankLines"":34,""codeLines"":196},{""commentLines"":37,""language"":""YAML"",""blankLines"":20,""codeLines"":242},{""commentLines"":96,""language"":""Awk"",""blankLines"":47,""codeLines"":488},{""commentLines"":7,""language"":""HTML"",""blankLines"":6,""codeLines"":28360},{""commentLines"":66,""language"":""DTD"",""blankLines"":34,""codeLines"":53},{""commentLines"":1311,""language"":""Python"",""blankLines"":291,""codeLines"":1752},{""commentLines"":0,""language"":""CSS"",""blankLines"":45,""codeLines"":338},{""commentLines"":303,""language"":""Maven"",""blankLines"":323,""codeLines"":6772},{""commentLines"":0,""language"":""CSV"",""blankLines"":0,""codeLines"":1647},{""commentLines"":28899,""language"":""XML"",""blankLines"":10874,""codeLines"":930016},{""commentLines"":0,""language"":""DOS Batch"",""blankLines"":2,""codeLines"":6},{""commentLines"":127,""language"":""XSD"",""blankLines"":91,""codeLines"":1154},{""commentLines"":30,""language"":""Bourne Again Shell"",""blankLines"":34,""codeLines"":170},{""commentLines"":5,""language"":""Dockerfile"",""blankLines"":2,""codeLines"":3},{""commentLines"":0,""language"":""JSON"",""blankLines"":0,""codeLines"":85}]","2023-09-11T07:02:11","4e9b79ad2e29c704ea4028645974af2133e9c6ca",,,"{""Java"":11363925,""HTML"":731254,""Python"":95836,""Shell"":88042,""Perl"":82062,""Awk"":19779,""XSLT"":18181,""CSS"":9058,""Batchfile"":1713,""Lex"":1418,""Gnuplot"":750}","[""arabic"",""belarusian"",""breton"",""browser-add-on"",""bug"",""catalan"",""chinese"",""code/java"",""desktop"",""done the easy ones"",""dutch"",""easy fix"",""english"",""enhancement"",""esperanto"",""found-by-grammalecte"",""french"",""fyi"",""galician"",""german"",""greek"",""help-needed"",""http-api"",""i18n"",""ios"",""irish"",""italian"",""japanese"",""lt-premium"",""macos"",""norwegian"",""office-integration"",""ok"",""persian"",""picky"",""polish"",""portuguese"",""potential-ai"",""prio 1"",""prio 2"",""prio 3"",""punctuation"",""question"",""russian"",""slovakian"",""slovenian"",""small bug"",""spacy"",""spanish"",""spelling"",""standalone-gui"",""style"",""swedish"",""thunderbird"",""tokenizer"",""ukrainian"",""website""]","[""grammar"",""natural-language"",""natural-language-processing"",""proofreading"",""spellcheck"",""style-checker""]"
3313009,"oracle/graal",false,77332,103,"master",32,253,"Other",469,19001,1545,348891,"2016-01-14T05:11:35","2023-09-13T12:14:44","2023-09-13T06:45:15","https://www.graalvm.org","Java",3698,884,3510,152,288365,1675176,637120,"[{""commentLines"":4809,""language"":""C/C++ Header"",""blankLines"":2174,""codeLines"":8200},{""commentLines"":177,""language"":""Ruby"",""blankLines"":292,""codeLines"":1294},{""commentLines"":135,""language"":""Ant"",""blankLines"":36,""codeLines"":368},{""commentLines"":1,""language"":""R"",""blankLines"":2,""codeLines"":5},{""commentLines"":707,""language"":""make"",""blankLines"":148,""codeLines"":445},{""commentLines"":36,""language"":""TypeScript"",""blankLines"":121,""codeLines"":2041},{""commentLines"":206,""language"":""LLVM IR"",""blankLines"":398,""codeLines"":2361},{""commentLines"":572,""language"":""Bourne Shell"",""blankLines"":111,""codeLines"":500},{""commentLines"":29,""language"":""Objective-C"",""blankLines"":2,""codeLines"":8},{""commentLines"":4952,""language"":""Python"",""blankLines"":4833,""codeLines"":30318},{""commentLines"":47105,""language"":""C"",""blankLines"":5891,""codeLines"":34308},{""commentLines"":234,""language"":""Maven"",""blankLines"":56,""codeLines"":510},{""commentLines"":5805,""language"":""WebAssembly"",""blankLines"":124,""codeLines"":38563},{""commentLines"":48,""language"":""Clojure"",""blankLines"":32,""codeLines"":326},{""commentLines"":90,""language"":""Bourne Again Shell"",""blankLines"":13,""codeLines"":118},{""commentLines"":0,""language"":""JSON"",""blankLines"":15,""codeLines"":14735},{""commentLines"":2775,""language"":""C++"",""blankLines"":790,""codeLines"":4161},{""commentLines"":90,""language"":""Windows Module Definition"",""blankLines"":3,""codeLines"":154},{""commentLines"":1239,""language"":""CMake"",""blankLines"":253,""codeLines"":913},{""commentLines"":0,""language"":""Visualforce Component"",""blankLines"":2,""codeLines"":19},{""commentLines"":565975,""language"":""Java"",""blankLines"":264090,""codeLines"":1476396},{""commentLines"":871,""language"":""Diff"",""blankLines"":183,""codeLines"":2357},{""commentLines"":23,""language"":""YAML"",""blankLines"":10,""codeLines"":389},{""commentLines"":0,""language"":""Markdown"",""blankLines"":7702,""codeLines"":28543},{""commentLines"":4,""language"":""Dockerfile"",""blankLines"":5,""codeLines"":21},{""commentLines"":20,""language"":""HTML"",""blankLines"":11,""codeLines"":41},{""commentLines"":0,""language"":""SVG"",""blankLines"":0,""codeLines"":779},{""commentLines"":0,""language"":""INI"",""blankLines"":0,""codeLines"":28},{""commentLines"":586,""language"":""JavaScript"",""blankLines"":568,""codeLines"":13548},{""commentLines"":453,""language"":""XML"",""blankLines"":274,""codeLines"":11881},{""commentLines"":26,""language"":""DOS Batch"",""blankLines"":58,""codeLines"":426},{""commentLines"":152,""language"":""ANTLR Grammar"",""blankLines"":168,""codeLines"":1420}]","2023-09-12T08:41:58","453a0626b98a125d98648eb37ac8c29815420efe",,,"{""Java"":97872005,""C"":3955230,""Python"":1828689,""WebAssembly"":1507729,""C++"":477966,""JavaScript"":376610,""Jsonnet"":272731,""LLVM"":163061,""CMake"":130126,""TypeScript"":103016,""Makefile"":61005,""Shell"":57888,""ANTLR"":51025,""Ruby"":40742,""Slash"":31642,""Clojure"":19677,""Batchfile"":17537,""Starlark"":15984,""Dockerfile"":2992,""HTML"":2909,""Objective-C"":1788,""R"":232}","[""accept"",""agent"",""api candidate"",""backport"",""bug"",""building"",""compiler"",""configuration"",""dashboard"",""dependencies"",""do not merge"",""docker"",""documentation"",""duplicate"",""enhancement"",""feature"",""good first issue"",""gu"",""helidon"",""help wanted"",""igv"",""invalid"",""java"",""java on truffle"",""java11"",""java17"",""java8"",""javascript"",""llvm"",""micronaut"",""native-image"",""native-image-debuginfo"",""native-image-error-report"",""native-image-jfr"",""oca required"",""oca verified"",""oca-signed"",""on hold"",""openjdk-updates"",""oracle-emp"",""performance"",""platform-darwin"",""platform-linux"",""platform-windows"",""python"",""quarkus"",""question"",""r"",""redhat-interest"",""ruby"",""spring"",""tools"",""tracking"",""truffle"",""unconfirmed"",""vscode"",""wasm"",""wontfix""]","[""c"",""java"",""javascript"",""polyglot"",""python"",""r"",""ruby"",""vm""]"
