2000-2004,2005-2009,2010-2014,2015-2019,2020-2023
13.393800,14.208700,12.971800,13.487700,15.993900
15.499300,16.932800,16.788900,17.227100,19.253300
11.616700,9.209300,8.486100,8.769900,5.445400
13.559900,10.998600,11.833200,9.519800,6.367200
15.348600,15.898900,15.302600,15.555800,16.560200
15.642200,16.883300,17.939000,18.821000,20.115800
14.939100,15.868000,16.678100,16.618400,16.263900
