Hour,2007-2010,2011-2014,2015-2018,2019-2022
00:00,2970,4253,2696,1910
01:00,3048,3168,1942,1299
02:00,1724,2381,1267,887
03:00,1509,1605,845,649
04:00,1067,1161,535,455
05:00,980,935,430,418
06:00,1098,790,539,432
07:00,1626,1214,667,549
08:00,2169,1861,1198,845
09:00,2516,2812,1964,1992
10:00,2668,4302,2800,3286
11:00,2762,4995,3890,3613
12:00,3088,5032,3971,3407
13:00,3342,5375,3940,3026
14:00,3715,5461,4067,3534
15:00,3573,5477,4077,3498
16:00,3574,5282,3917,3565
17:00,3528,5238,3970,3140
18:00,3830,4849,3566,2446
19:00,3794,4645,2966,2101
20:00,3944,4453,3061,1960
21:00,4457,4918,3202,2147
22:00,4306,4862,3613,2249
23:00,3664,4694,3379,2327
