Day,2004-2004,2005-2005,2006-2006,2007-2007,2008-2008,2009-2009,2010-2010,2011-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022,2023-2023
Monday,14.666666666666666,14.925751998984643,16.425381179732018,15.579763123263636,15.205529283375775,15.416255347153667,14.749676911839074,15.319432543082929,13.882363177586358,14.714316285041729,15.21021155047755,14.924942263279444,14.981637502700368,16.484804101061883,16.916308788100977,18.399702270189803,17.32246798603027,17.73969808241534,16.559139784946236,16.100872938894277
Tuesday,15.749174917491748,15.534966366290137,16.61019559525643,15.060681386167568,14.581925895130695,16.496654601294285,15.918413215710514,16.357231267256974,14.3739667623771,15.031029317355019,15.808265643131303,16.589684372594306,15.759343270684814,16.755767118271695,16.43448203624175,17.506512839598066,17.431121459060925,17.12770297837617,17.8494623655914,17.48302618816683
Wednesday,15.234323432343233,15.446122604391421,14.73894963807177,16.193887995320956,13.97910928649379,13.491280026324448,14.288925099735911,14.667237932019422,14.76115896632733,14.316285041729081,15.228063911452288,15.949769053117782,16.002376323179952,14.434273160014646,15.198491672776788,16.337923334573876,16.352347691113696,15.569155446756424,13.655913978494624,14.427740058195926
Thursday,15.735973597359736,15.66188602614545,15.955644540274141,15.755227372422869,14.701449877877671,14.41811999561259,12.771815474518178,13.243835094734838,14.291307752545027,13.884014551679863,14.545211104168526,14.174364896073904,15.176063944696477,15.269132186012449,13.648266471142767,14.856717528842575,15.304617772603804,16.59730722154223,15.161290322580644,14.573229873908828
Friday,12.924092409240926,14.024622414011931,14.500231018019406,15.630940195935079,15.288676401808448,12.10924646265219,14.35635219419003,13.53898886032562,13.31245105716523,13.661459447892147,14.987057038293313,13.779830638953042,13.90149060272197,14.478213108751373,13.197863203100452,14.834387793077783,14.311214590609236,14.96532027743778,16.102150537634408,15.106692531522794
Saturday,11.617161716171617,10.826246985658077,10.149391652548898,10.630209094896914,13.116457932754768,12.57540857738291,13.62027307973254,13.581833761782347,14.017227877838684,13.323346886368501,11.64866553601714,12.490377213240954,11.69799092676604,11.439033321127793,12.40180161307217,9.013770003721623,9.43733022894839,8.926968584251325,10.698924731182796,10.37827352085354
Sunday,14.072607260726071,13.58040360451834,11.620206376097336,11.149290831992982,13.126851322558853,15.493034989579908,14.294544024273753,13.291440540797867,15.361524406160271,15.069548469933661,12.572525216459876,12.09103156274057,12.481097429250378,11.138777004760161,12.2027862155651,9.050986229996278,9.840900271633684,9.073847409220727,9.973118279569892,11.930164888457808
