Day,2007-2010,2011-2014,2015-2018,2019-2022
Monday,15.2178327,14.76666332,15.58670123,17.54498844
Tuesday,15.52819353,15.36713345,16.3562766,17.47059415
Wednesday,14.36941641,14.73992625,15.51950338,15.55041721
Thursday,14.33751015,14.00354266,14.62993184,15.46999095
Friday,14.27514793,13.87431347,13.87955585,15.01558259
Saturday,12.6102216,13.14350011,12.0124156,9.4802453
Sunday,13.66167769,14.10492074,12.0156155,9.468181361
