Day,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
Monday,16.007871121590004,15.909295284913522,15.952965922407353,16.04799053982391,16.750057616217834
Tuesday,16.940751432131748,17.05417836529014,17.5711770882124,17.49340164908703,18.096446317839057
Wednesday,16.646167086519583,16.973328803759546,17.37668180955482,17.535808734466336,17.786072598588348
Thursday,16.59219880409155,16.31429247058275,16.47820764852248,17.150313525073734,17.356589464524564
Friday,15.534528046473683,15.247677760791875,15.427637134842515,16.088307748305674,16.2675891005193
Saturday,9.075546630568281,9.062644671589247,8.538638741996877,7.8795325293693015,7.090456385061568
Sunday,9.202936878625154,9.438582643072916,8.654691654463553,7.804645273874014,6.652788517249326
