,2000-2004,2005-2009,2010-2014,2015-2019,2020-2024
00:00-00:59,4695,4341,5593,6307,4940
01:00-01:59,4716,5317,4411,4977,3224
02:00-02:59,2924,2361,3277,3566,4450
03:00-03:59,1964,2047,2762,2452,1374
04:00-04:59,1812,1610,1712,1642,1160
05:00-05:59,1763,1996,1448,1299,977
06:00-06:59,1640,2227,1313,1425,1253
07:00-07:59,1780,2646,2093,1983,2043
08:00-08:59,2149,3454,2741,3284,3159
09:00-09:59,2449,3993,4118,5527,5747
10:00-10:59,2678,4370,5558,8334,8134
11:00-11:59,2647,4507,6574,9066,9136
12:00-12:59,2938,5146,6511,9353,8915
13:00-13:59,3931,5466,7104,8918,8279
14:00-14:59,4358,5945,7076,9207,9846
15:00-15:59,4952,6018,7064,9486,9026
16:00-16:59,5184,5474,7135,12527,9223
17:00-17:59,4722,5294,6772,9273,8408
18:00-18:59,4743,5549,7069,7709,7185
19:00-19:59,4810,5500,6656,7194,6135
20:00-20:59,4758,5764,6556,7417,5948
21:00-21:59,4511,6063,6883,7260,8946
22:00-22:59,4521,5989,7177,7762,6794
23:00-23:59,3716,5239,6653,7633,6924
