Day,2004-2004,2005-2005,2006-2006,2007-2007,2008-2008,2009-2009,2010-2010,2011-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022,2023-2023
Monday,15.817575491058342,15.966033236147585,16.098550209018946,16.150050304220763,16.051062931898507,15.877054551776713,15.83201680085781,15.88842544661906,16.33444705346891,15.716665560728243,15.911502007975884,15.844354284478337,15.951459725641929,16.058220745507843,15.797224699757317,16.392973278665345,16.58777256668401,17.211939317791327,16.50875169358087,16.718093768749466
Tuesday,16.756816182937555,16.889987110826215,17.24948857066619,16.860205860349588,16.86448277681068,16.753039198641222,17.14537690897209,17.43542587992472,17.594364507152978,18.064281797766935,17.38413436457279,17.241523664665394,17.42532398115771,17.497318505630265,17.4711165501649,17.58200197935812,17.508304801685338,18.308552248944455,18.60513017686477,18.109482586211822
Wednesday,16.49149809440047,16.516407849300055,16.88268255803611,16.69547335718945,16.916530393346346,16.967354526366467,17.070826274815847,16.931005169898818,17.33886400546171,17.806889181477512,17.339668290086866,17.022093067876966,17.366010772933866,17.614710311262975,17.70965132438655,17.452283330976957,17.333658369748328,17.808194850802924,18.07828920868578,18.050436654190833
Thursday,16.461081794195252,16.578785936326103,16.648581339500133,16.679995135416014,16.238153012959152,16.487569042301363,16.33261637829847,16.195377852457767,16.42237232733028,15.803278001487778,16.990592099043806,16.698354444952223,16.689426386101395,17.07282135133341,17.39437057932837,17.451576417361796,17.00583246313323,17.14001571663877,17.388956021824306,18.01424721198442
Friday,15.582307241278217,15.445986090720485,15.242906697500667,15.883235243173921,15.378312320866522,15.098364382865473,15.144564782914898,15.380035524448694,15.48312351949355,15.265791927580825,15.505005059328948,15.456077250733472,15.9883580586649,16.34925459697227,16.05097038711774,15.964937084688252,16.101673331125994,16.184142177864402,16.591599838880956,16.23715512890108
Saturday,9.22603342128408,9.386695891317384,8.730410032909367,8.948991888674733,9.127323240315803,9.129632353924546,9.071384611480163,8.926427345225534,8.259458863040008,8.615493149584575,8.345616940524,8.936651189076612,8.410061175367087,7.6849707044556475,7.721266930783431,7.694401244167963,7.9646049897941,6.943291348301138,6.616408510015013,6.597430549603345
Sunday,9.664687774846087,9.216103885362172,9.147380592368586,8.782048210975534,9.424135323802993,9.686985944124215,9.403214242660727,9.24330278142541,8.567369724052561,8.727600381374135,8.523481238467706,8.800946098216995,8.16935990013311,7.722703784837591,7.855399528461692,7.461826664781563,7.498153477828999,6.4038643396569865,6.210864550148303,6.273154100359038
