Hour,1970-1970,1971-1971,1972-1972,1973-1973,1974-1974,1975-1975,1976-1976,1977-1977,1978-1978,1979-1979,1980-1980,1981-1981,1982-1982,1983-1983,1984-1984,1985-1985,1986-1986,1987-1987,1988-1988,1989-1989,1990-1990
00:00,2,0,0,14,0,2,0,7,23,161,162,169,372,444,137,711,229,45,0,0,0
01:00,0,0,0,14,0,0,0,0,34,194,207,181,185,317,95,503,214,20,0,0,0
02:00,0,0,0,6,0,0,0,0,34,144,138,173,215,216,66,413,255,19,0,0,0
03:00,0,0,0,16,0,12,0,0,1,153,51,90,275,197,41,291,149,11,0,0,0
04:00,0,0,2,4,0,42,0,0,8,55,28,150,159,158,73,314,133,6,0,0,0
05:00,6,0,6,0,6,2,0,0,16,95,47,169,190,203,30,152,129,11,0,0,0
06:00,0,0,0,4,0,0,0,0,16,44,93,133,185,255,28,124,181,15,0,0,0
07:00,0,0,2,20,0,26,0,0,13,60,69,139,156,171,41,68,169,1,0,0,0
08:00,0,0,0,2,0,4,0,0,4,62,154,111,91,116,23,48,46,0,0,0,0
09:00,0,0,0,6,0,4,0,0,12,69,41,55,55,78,7,22,62,0,0,0,0
10:00,0,0,2,88,0,38,0,6,6,53,26,32,28,43,6,8,27,0,0,0,0
11:00,0,0,6,16,0,28,0,25,0,36,15,10,10,12,1,5,16,0,0,0,0
12:00,0,0,36,20,0,6,0,49,1,48,3,7,51,11,0,4,17,0,0,0,0
13:00,0,0,6,16,0,0,0,0,8,21,0,3,20,13,1,9,18,0,0,0,0
14:00,0,0,10,124,0,0,0,0,0,50,2,3,10,22,1,2,9,1,0,0,0
15:00,0,0,2,40,0,8,0,0,1,543,13,10,20,16,8,35,52,0,0,0,0
16:00,0,0,6,6,0,0,0,4,4,23,24,23,70,58,36,116,154,3,0,0,0
17:00,0,0,64,16,0,0,0,0,5,73,121,82,89,115,95,132,105,3,0,0,0
18:00,0,0,16,46,390,4,0,46,30,102,73,102,173,227,108,235,249,7,0,0,0
19:00,0,0,10,80,0,346,0,2,40,115,65,125,141,373,94,249,178,13,0,0,0
20:00,0,0,8,148,0,0,0,7,5,82,84,128,131,356,88,276,188,8,0,0,0
21:00,0,0,4,24,0,0,0,0,20,132,58,114,198,392,100,537,225,4,0,0,0
22:00,0,0,6,70,0,4,0,1,70,90,58,161,252,437,150,540,316,13,0,0,0
23:00,0,0,2,16,0,8,0,7,66,220,130,205,214,408,200,532,469,23,0,0,0
