Day,1970-1970,1971-1971,1972-1972,1973-1973,1974-1974,1975-1975,1976-1976,1977-1977,1978-1978,1979-1979,1980-1980,1981-1981,1982-1982,1983-1983,1984-1984,1985-1985,1986-1986,1987-1987,1988-1988,1989-1989,1990-1990
Monday,0.0,0,43.61702127659575,21.608040201005025,0.5050505050505051,0.0,0,2.5974025974025974,5.0359712230215825,10.4,11.612515042117929,15.494736842105263,17.689969604863222,14.769297110823631,12.24632610216935,12.767555388659407,12.311977715877436,30.049261083743843,0,0,0
Tuesday,75.0,0,12.76595744680851,16.834170854271356,97.97979797979798,35.2059925093633,0,16.233766233766232,20.14388489208633,12.114285714285716,8.543922984356197,16.16842105263158,14.620060790273556,11.535144458818456,14.415675297410777,19.67705595193391,13.844011142061282,12.807881773399016,0,0,0
Wednesday,0.0,0,8.51063829787234,12.562814070351758,1.5151515151515151,0.0,0,38.311688311688314,18.705035971223023,31.733333333333334,16.84717208182912,12.378947368421054,14.224924012158056,14.898663216903838,18.964310706787963,18.193766428839655,20.139275766016713,13.30049261083744,0,0,0
Thursday,25.0,0,13.829787234042554,31.155778894472363,0.0,44.569288389513105,0,0.0,20.14388489208633,11.161904761904761,28.399518652226234,17.852631578947367,12.340425531914894,15.545493747304873,19.8740377886634,17.461509575666543,21.225626740947074,12.807881773399016,0,0,0
Friday,0.0,0,6.382978723404255,8.291457286432161,0.0,19.101123595505616,0,3.896103896103896,14.628297362110313,8.761904761904763,15.342960288808664,13.684210526315791,11.854103343465045,20.65545493747305,14.765570328901328,13.706346226060834,16.7966573816156,18.7192118226601,0,0,0
Saturday,0.0,0,4.25531914893617,2.261306532663317,0.0,0.7490636704119851,0,27.92207792207792,1.9184652278177456,10.704761904761904,8.904933814681106,12.126315789473683,11.063829787234042,11.664510564898663,7.837648705388384,14.494930529478031,6.350974930362117,8.374384236453201,0,0,0
Sunday,0.0,0,10.638297872340425,7.2864321608040195,0.0,0.37453183520599254,0,11.03896103896104,19.424460431654676,15.123809523809523,10.348977135980746,12.294736842105262,18.206686930091184,10.93143596377749,11.896431070678796,3.6988358993616224,9.331476323119778,3.9408866995073892,0,0,0
