Day,1970-1970,1971-1971,1972-1972,1973-1973,1974-1974,1975-1975,1976-1976,1977-1977,1978-1978,1979-1979,1980-1980,1981-1981,1982-1982,1983-1983,1984-1984,1985-1985,1986-1986,1987-1987,1988-1988,1989-1989,1990-1990
Monday,0.0,0,43.61702127659575,21.608040201005025,0.5050505050505051,0.0,0,0,0,6.640625,0,0,0,0,0,0,0,0,0,0,0
Tuesday,75.0,0,12.76595744680851,16.834170854271356,97.97979797979798,35.2059925093633,0,0,0,3.515625,0,0,0,0,0,0,0,0,0,0,0
Wednesday,0.0,0,8.51063829787234,12.562814070351758,1.5151515151515151,0.0,0,0,0,56.8359375,0,0,0,0,0,0,0,0,0,0,0
Thursday,25.0,0,13.829787234042554,31.155778894472363,0.0,44.569288389513105,0,0,0,4.8828125,0,0,0,0,0,0,0,0,0,0,0
Friday,0.0,0,6.382978723404255,8.291457286432161,0.0,19.101123595505616,0,0,0,8.203125,0,0,0,0,0,0,0,0,0,0,0
Saturday,0.0,0,4.25531914893617,2.261306532663317,0.0,0.7490636704119851,0,0,0,12.3046875,0,0,0,0,0,0,0,0,0,0,0
Sunday,0.0,0,10.638297872340425,7.2864321608040195,0.0,0.37453183520599254,0,0,0,7.6171875,0,0,0,0,0,0,0,0,0,0,0
