,2000-2004,2005-2009,2010-2014,2015-2019,2020-2024
00:00-00:59,0.05565367883263593,0.04083110726513413,0.045011910893638936,0.04106093059289979,0.0349793947290159
01:00-01:59,0.05590260902549756,0.050011287106362164,0.03549929178470255,0.03240213279861459,0.022828657612620904
02:00-02:59,0.034660565901305104,0.022207381767560857,0.02637297192892094,0.023215994687534585,0.03150977865265603
03:00-03:59,0.02328089994191629,0.019253922269460853,0.022228302858614473,0.01596343773803556,0.009729086712078512
04:00-04:59,0.021479119498346393,0.015143534369238872,0.01377800669585372,0.010690034570087435,0.008213784997096851
05:00-05:59,0.020898282381669256,0.018774220249068815,0.011653360803502447,0.008456976191561253,0.006917989605313469
06:00-06:59,0.01944026268062256,0.020946988223785695,0.010566894154004636,0.00927728335101985,0.008872303966691685
07:00-07:59,0.021099797299700098,0.02488806952857519,0.016844257017769766,0.012910072200050781,0.014466174783680058
08:00-08:59,0.025473856402840174,0.03248805447910004,0.022059296935359258,0.02138006914017487,0.022368402418818066
09:00-09:59,0.02903000201514918,0.0375578464201061,0.03314125676023693,0.03598283865339418,0.04069363998130656
10:00-10:59,0.03174452649921172,0.0411038790022198,0.044730234354880244,0.054257459261332935,0.05759562686757396
11:00-11:59,0.031377058119273125,0.04239249031190037,0.0529069018799897,0.0590230532353305,0.06469063770127313
12:00-12:59,0.034826519363212856,0.048402874449753566,0.05239988411022405,0.0608915306540973,0.06312577004234347
13:00-13:59,0.046597361339955665,0.051412769479664396,0.05717228946690703,0.058059517841680716,0.05862234999221107
14:00-14:59,0.05165894192814215,0.05591820610256217,0.056946948235900074,0.059941016009010355,0.06971804058742724
15:00-15:59,0.058700110240513984,0.05660483840626058,0.056850373422611386,0.061757410433525825,0.06391174429637603
16:00-16:59,0.061450196180699614,0.05148801685541217,0.05742177440123616,0.08155545862331626,0.0653066715760554
17:00-17:59,0.05597373193774374,0.04979495090108733,0.054500386299253155,0.06037070071158391,0.05953577953068132
18:00-18:59,0.05622266213060537,0.05219346100304752,0.056890612928148336,0.050188475335447034,0.050875901038052486
19:00-19:59,0.05701686798402105,0.051732570826592425,0.05356682977079578,0.04683563258051705,0.043441009445852746
20:00-20:59,0.05640046941122082,0.05421573422626886,0.05276203966005666,0.048287446045273144,0.04211689065752765
21:00-21:59,0.05347257619041974,0.057028104894841794,0.055393703322173575,0.04726531728309061,0.06334527636554176
22:00-22:59,0.05359111437749671,0.05633206666917491,0.05775978624774659,0.05053352517236216,0.04810728902610001
23:00-23:59,0.04404879031780088,0.0492776251928214,0.0535426860674736,0.04969368689005931,0.04902779941370569
