,2000-2004,2005-2009,2010-2014,2015-2019,2020-2023
Mon,8944,10949,5592,7655,5327
Tue,9075,10923,5970,8162,5788
Wed,8699,10277,5782,7228,4247
Thu,8990,10321,5109,6842,4238
Fri,7717,9287,4284,5963,4547
Sat,6598,5918,2812,3930,1803
Sun,7610,7047,3977,4239,1854
